0.125 0.5 -1.3169567191?
-1 -0.9921567416? 0.125
-1.25 -0.6614378277? 0
-1.375 -0.2165063509? -0.25
-1.40625 -0.1362155919? 0.0625
-1.4140625 -0.0135316469? 0.015625
-1.408203125 -0.0365917851? -0.125
0 -1 -1
-1.4141845703? 0 -0.0090554453?
-1.4141998291? -0.0048563957? -0.00390625
-1.4142074584? -0.0014161726? 0.00390625
-1.4142112731? 0.001953125 -0.0016309738?
-1.3125 -0.5 -0.1653594569?
-1.4138679159? 0.0009765625 0.03125
-1.4140139408? -0.00390625 0.0234375
-1.4085430523? -0.125 0.01953125
-1.3918300936? 0.25 0.017578125
-1.4127342772? -0.0625 0.0166015625
-1.4141214263? -0.0009765625 0.0161132812?
-1.3918506278? -0.25 0.0158691406?
-1.1988544656? -0.75 0.0157470703?
-1.4016410732? -0.1875 0.0156860351?
-1.4141200772? -0.0043945312? 0.0156555175?
-1.4141054936? -0.0078125 0.0156402587?
-1.3971056003? -0.21875 0.0156326293?
-1.4141211102? -0.0041503906? 0.0156288146?
-1.3994627662? -0.203125 0.0156269073?
-1.4141207783? -0.0042724609? 0.0156259536?
-1.4005744792? -0.1953125 0.0156254768?
-1.3915025321? -0.234375 0.09375
-1.4120418379? -0.005859375 0.078125
-1.4124644823? 0.0004882812? 0.0703125
-1.3619710753? 0.375 0.06640625
-1.4127435381? -0.0012207031? 0.064453125
-1.3777933357? 0.3125 0.0634765625
-1.4128093752? 0.0014648437? 0.0629882812?
-1.4128209137? -0.0004882812? 0.0627441406?
-1.2670649061? -0.625 0.0626220703?
-1.3703729617? 0.34375 0.0625610351?
