0.5 -1.2183492931? 0.125 -0.5
-1 0 -1 0
-1.25 0.25 0.5 -0.3535533905?
-1.375 0.125 0 -0.3061862178?
-1.40625 -0.0541265877? 0.0625 -0.125
-1.4140625 -0.0110485434? -0.015625 -0.0078125
-1.3125 -0.1653133122? -0.5 -0.00390625
-1.41015625 0.0625 0.03125 -0.0810958573?
-1.4141845703? 0.00390625 0.0078125 -0.0023889631?
-1.4141998291? 0.001953125 -0.00390625 -0.0044463336?
-1.4142074584? 0.0041503906? -0.0001539172? -0.0001220703?
-1.4142112731? 0.0009765625 -0.001953125 -0.0013062929?
-1.4130906617? 0.03125 0.046875 -0.0009765625
-1.4136701851? 0.0014648437? 0.0390625 -0.0029296875
-1.4137633412? 0.0017089843? 0.03515625 -0.005859375
-1.4138207360? 0.0015869140? 0.033203125 -0.0024414062?
-1.3780812505? 0.046875 0.0322265625 -0.3125
-1.4138572910? 0.0004882812? 0.0317382812? -0.0000610351?
