0.125 -0.25 -3.5059770392?
-1 1 -3.2202484376?
-3 1.5 -1.0583005244?
-3.5 0 -0.3464101615?
-3.515625 -0.0625 -0.0804649574?
-3.5166015625 -0.03125 -0.0503675304?
-3.5170898437? 0.0078125 -0.0042421497?
-3.5170974731? 0.00390625 -0.0031789324?
-3.5170993804? -0.001953125 -0.0028518480?
-3.5171003341? 0.001953125 -0.0011936087?
-3.5171008110? 0.0009765625 -0.0009651715?
-3.5171010494? -0.0002441406? -0.0003854107?
-3.5171010643? 0.0002441406? -0.0002091020?
-3.5171010643? -0.0001220703? -0.0002973670?
-3.5171010643? -0.0000610351? -0.0003155994?
-3.5171010643? -0.0001831054? -0.0002641982?
-3.5171010643? -0.0000915527? -0.0003081337?
-3.5171010643? -0.0002136230? -0.0002401947?
-3.5171010643? -0.0002288818? -0.0002257020?
-3.5171010643? -0.0000305175? -0.0003199953?
-3.5171010643? -0.0000152587? -0.0003210848?
-3.5171010643? 0.0001220703? 0.0002973670?
-3.5171010643? -0.0000762939? -0.0003122619?
-3.5171010643? -0.0002212524? -0.0002331859?
-3.5171010643? -0.0000839233? -0.0003102985?
-3.5082046634? -0.0001983642? 0.25
-3.5171010643? -0.0002174377? -0.0002367470?
-3.3719430531? -0.0002155303? -1
-3.5171010643? -0.0002145767? -0.0002393431?
-2.8930952201? -0.0002164840? -2
-3.5171010643? 0.0001831054? 0.0002641982?
-3.1811947367? -0.0002169609? -1.5
-3.5171010643? -0.0000801086? -0.0003113051?
-3.0405591591? 1.25 -1.25
-3.5171010643? -0.0001525878? -0.0002829227?
-3.4813790371? 0.5 0
-3.5171010643? 0.0002136230? 0.0002401947?
-3.2371809754? 0.005859375 -1.375
-3.5171010643? -0.0001678466? -0.0002741456?
-3.5148778665? 0.0029296875 0.125
-3.5171010643? -0.0001373291? -0.0002906355?
-3.2099208096? 0.0014648437? -1.4375
-3.5171010643? -0.0000686645? -0.0003140278?
-3.2630267408? 0.0004882812? -1.3125
-3.5171010643? 0.0001983642? -0.0002529425?
-2.8930952192? 0.0002288818? 2
-3.2754233907? 0.0002212524? -1.28125
-3.2237339980? 0.0002174377? -1.40625
-3.5171010643? -0.0000228881? -0.0003206313?
-1.8357559635? 0.0002059936? -3
-3.5171010643? -0.0000648498? -0.0003148377?
-3.0508195560? 0.0001907348? -1.75
-3.5171010643? 0.0001869201? -0.0002615132?
-1.8357559657? 0.0001850128? 3
-3.3323227583? 0.0001840591? -1.125
-3.2692682974? 0.0001835823? -1.296875
-3.5171010643? -0.0000782012? -0.0003117897?
-3.2661583709? 0.0001525878? -1.3046875
-3.5171010643? 0.0001945495? -0.0002558882?
-3.2305049281? 0.0001373291? -1.390625
-3.5171010643? -0.0000791549? -0.0003115490?
-3.2677160427? 0.0000610351? -1.30078125
-3.5171010643? -0.0000457763? -0.0003181710?
-3.2723566234? -0.0000076293? -1.2890625
-3.5171010643? -0.0000038146? -0.0003214245?
-3.2271307005? -0.0000114440? -1.3984375
-3.5171010643? 0.0002193450? -0.0002349809?
-3.2168729356? -0.0000133514? -1.421875
-3.5171010643? -0.0001068115? -0.0003031824?
-3.2738927002? -0.0000190734? -1.28515625
-3.5171010643? -0.0002150535? -0.0002389148?
-3.1957430179? -0.0000267028? -1.46875
-3.5171010643? -0.0000820159? -0.0003108081?
-3.2684928484? -0.0000381469? -1.298828125
-3.5171010643? 0.0001449584? -0.0002869065?
-3.1191946073? -0.0000419616? -1.625
-3.5171010643? -0.0002171993? -0.0002369657?
-3.3719430595? -0.0000534057? 1
3.4813790366? -0.0000572204? -0.5
-3.1509671128? -0.0000591278? -1.5625
-3.5171010643? -0.0000772476? -0.0003120274?
-3.1885154626? -0.0000629425? -1.484375
-3.5171010643? -0.0001907348? -0.0002587441?
-3.5165457121? -0.0000667572? 0.0625
-3.5171010643? 0.0002250671? -0.0002295062?
-3.2814925498? -0.0000677108? -1.265625
-3.5171010643? -0.0000829696? -0.0003105549?
-3.2338567662? -0.0000724792? -1.3828125
-3.5171010643? -0.0000209808? -0.0003207617?
-3.5120996205? -0.0000743865? 0.1875
-3.5171010643? -0.0000991821? -0.0003057633?
-3.2844950462? -0.0000767707? -1.2578125
-3.5171010643? 0.0001845359? -0.0002632010?
-3.3527740371? -0.0000770092? -1.0625
-3.5171010643? -0.0000286102? -0.0003201714?
-3.2708151591? -0.0000771284? -1.29296875
-3.5171010643? -0.0000123977? -0.0003212080?
-3.5158513807? -0.0000771880? 0.09375
-3.5171010643? -0.0000600814? -0.0003157824?
-3.5162332798? -0.0000772178? 0.078125
-3.5171010643? -0.0001449584? 0.0002869065?
-3.2645952875? -0.0000777244? -1.30859375
-3.5171010643? -0.0002167224? -0.0002374019?
-3.2829964650? -0.0000786781? -1.26171875
-3.5171010643? -0.0002152919? -0.0002386999?
-3.2028780382? -0.0000796318? -1.453125
-3.5171010643? -0.0001602172? -0.0002786731?
-3.2715865645? -0.0000810623? -1.291015625
-3.5171010643? -0.0000753402? -0.0003124934?
-3.2064110420? -0.0000815391? -1.4453125
-3.5171010643? -0.0000768899? -0.0003121157?
0 -0.0000817775? 3.5171010780?
-3.5171010643? -0.0001640319? -0.0002764449?
-3.2700424050? -0.0000824928? -1.294921875
-3.5171010643? -0.0002193450? 0.0002349809?
-3.5136285988? -0.0000834465? 0.15625
-3.5171010643? -0.0000705718? -0.0003136047?
-3.2203147732? -0.0000836849? -1.4140625
-3.5171010643? -0.0000818967? -0.0003108395?
-3.4362043002? -0.0000838041? -0.75
-3.5171010643? 0.0002202987? -0.0002340871?
-3.5082046680? -0.0000838637? -0.25
-3.1993220553? -0.0000838935? -1.4609375
-3.2185966844? -0.0000839084? -1.41796875
-3.5171010643? -0.0001296997? -0.0002941195?
-3.2784686861? -0.0000877380? -1.2734375
-3.5171010643? -0.0000858306? -0.0003097763?
-3.1662712185? -0.0000896453? -1.53125
-3.5171010643? 0.0001859664? -0.0002621922?
-3.5102917869? -0.0000905990? 0.21875
-3.5171010643? -0.0000581741? -0.0003161393?
-3.2822451742? -0.0000910758? -1.263671875
-3.5171010643? -0.0000681877? -0.0003141317?
-3.2046474074? -0.0000913143? -1.44921875
-3.5171010643? -0.0000816583? -0.0003109022?
-2.4738633736? -0.0000914335? 2.5
-3.5171010643? 0.0002155303? -0.0002384847?
-3.4065194835? -0.0000914931? -0.875
-3.5171010643? 0.0001678466? 0.0002741456?
-3.2731253334? -0.0000915229? -1.287109375
-3.5171010643? -0.0000276565? -0.0003202552?
-3.2220272100? -0.0000915378? -1.41015625
-3.5171010643? -0.0001487731? -0.0002849471?
-3.2254351640? -0.0000953674? -1.40234375
-3.5171010643? 0.0001842975? -0.0002633680?
-3.2669378841? -0.0000972747? -1.302734375
-3.5171010643? -0.0002183914? -0.0002358675?
-3.5153999912? -0.0001029968? 0.109375
-3.5171010643? -0.0000495910? -0.0003175988?
-2.9756301835? -0.0001049041? -1.875
-3.5171010643? -0.0000684261? -0.0003140799?
-3.4219648944? -0.0001058578? -0.8125
-3.5171010643? 0.0002365112? -0.0002176941?
-3.3625174239? -0.0001063346? -1.03125
-3.5171010643? 0.0002403259? -0.0002134754?
-3.2712010296? -0.0001065731? -1.2919921875
-3.5171010643? -0.0000867843? -0.0003095105?
-3.1737802141? -0.0001066923? -1.515625
-3.5171010643? -0.0000779628? -0.0003118495?
-3.5092831672? -0.0001067519? 0.234375
-3.5171010643? -0.0001621246? -0.0002775678?
-3.0141074527? -0.0001144409? -1.8125
-3.5171010643? 0.0000915527? 0.0003081337?
-3.2321836418? -0.0001182556? -1.38671875
-3.5171010643? 0.0001854896? -0.0002625298?
-3.2688807422? -0.0001201629? -1.2978515625
-3.5171010643? -0.0000171661? -0.0003209885?
-3.2037634392? -0.0001211166? -1.451171875
-3.5171010643? 0.0001964569? -0.0002544268?
-3.2696555208? -0.0001215934? -1.2958984375
-3.5171010643? -0.0000553131? -0.0003166524?
-3.5151482294? -0.0001218318? 0.1171875
-3.5171010643? -0.0000271797? -0.0003202960?
-3.2859882990? -0.0001219511? -1.25390625
-3.5171010643? -0.0001611709? -0.0002781227?
-2.7032387952? -0.0001258850? 2.25
-3.5171010643? -0.0000683069? -0.0003141058?
-3.5087526556? -0.0001277923? 0.2421875
-3.5171010643? -0.0000543594? -0.0003168175?
-3.1921408438? -0.0001287460? -1.4765625
-3.5171010643? -0.0000538825? -0.0003168990?
-3.5160510134? -0.0001292228? 0.0859375
-3.5171010643? -0.0000934600? -0.0003075606?
-3.5084808463? -0.0001294612? 0.24609375
-3.5171010643? -0.0002202987? 0.0002340871?
-3.3672697904? -0.0001335144? -1.015625
-3.5171010643? -0.0000793933? -0.0003114883?
-3.5156343723? -0.0001354217? 0.1015625
-3.5171010643? 0.0000305175? 0.0003199953?
-3.2746587183? -0.0001363754? -1.283203125
-3.5171010643? -0.0000827312? -0.0003106185?
-3.2826209846? -0.0001368522? -1.2626953125
-3.5171010643? -0.0000913739? -0.0003081868?
-3.4292343779? -0.0001370906? -0.78125
-3.5171010643? -0.0000596046? -0.0003158727?
-3.5097962070? -0.0001372098? 0.2265625
-3.5171010643? -0.0000576972? -0.0003162267?
-3.2055299393? -0.0001372694? -1.447265625
-3.5171010643? -0.0000095367? -0.0003213057?
2.4738633715? -0.0001372992? -2.5
-3.5171010643? -0.0000758171? -0.0003123781?
-3.2769487218? -0.0001373142? -1.27734375
-3.5171010643? 0.0001838207? -0.0002637010?
-3.2288206165? -0.0001373216? -1.39453125
-3.5171010643? -0.0002250671? 0.0002295062?
-3.3696162904? -0.0001411437? -1.0078125
-3.5171010643? -0.0000915452? -0.0003081359?
-3.4143939311? -0.0001430511? -0.84375
-3.5171010643? -0.0001053810? -0.0003036826?
-3.2081689484? -0.0001440048? -1.44140625
-3.5171010643? -0.0000774860? -0.0003119683?
-3.1352768484? -0.0001444816? -1.59375
-3.5171010643? -0.0001217126? -0.0002975136?
-3.2090457584? -0.0001447200? -1.439453125
-3.5171010643? 0.0002422332? -0.0002113086?
-3.2852423364? -0.0001448392? -1.255859375
-3.5171010643? -0.0000128746? -0.0003211892?
-3.4104947717? -0.0001448988? -0.859375
-3.5171010643? -0.0000772029? -0.0003120385?
-3.4611233695? -0.0001449286? -0.625
-3.5171010643? -0.0000057220? -0.0003213962?
-3.2296634723? -0.0001449435? -1.392578125
-3.5171010643? -0.0001217722? -0.0002974892?
-3.1431706067? -0.0001449510? -1.578125
-3.5171010643? -0.0001192092? -0.0002985254?
-3.5150158296? -0.0001449547? 0.12109375
-3.5171010643? -0.0000915490? -0.0003081348?
-3.2673271303? -0.0001449566? -1.3017578125
-3.5171010643? -0.0000813007? -0.0003109959?
-3.3649035146? -0.0001449575? -1.0234375
-3.5171010643? -0.0001187324? -0.0002987154?
-3.5083433022? -0.0001449580? 0.248046875
-3.5171010643? -0.0001372843? -0.0002906566?
-3.2727411441? -0.0001449582? -1.2880859375
-3.5171010643? -0.0002179145? -0.0002363081?
-3.5090200946? -0.0001468658? 0.23828125
-3.5171010643? -0.0001051425? -0.0003037652?
-3.2059706682? -0.0001478195? -1.4462890625
-3.5171010643? -0.0000771582? -0.0003120495?
-3.2665482959? -0.0001482963? -1.3037109375
-3.5171010643? 0.0001847743? -0.0002630337?
-3.3576856184? -0.0001485347? -1.046875
-3.5171010643? -0.0000295639? -0.0003200848?
-3.2710081344? -0.0001486539? -1.2924804687?
-3.5171010643? -0.0001056194? -0.0003035998?
-3.1700375646? -0.0001487135? -1.5234375
-3.5171010643? -0.0000915415? -0.0003081370?
-3.5159533669? -0.0001487433? 0.08984375
-3.5171010643? -0.0001369714? -0.0002908042?
-3.4124538511? -0.0001487582? -0.8515625
-3.5171010643? -0.0001659393? -0.0002753043?
-3.3660891265? -0.0001506805? -1.01953125
-3.5171010643? -0.0001516342? -0.0002834349?
-3.2750412240? -0.0001521110? -1.2822265625
-3.5171010643? -0.0001184940? -0.0002988101?
-3.2228813095? -0.0001523494? -1.408203125
-3.5171010643? -0.0001039505? -0.0003041753?
-3.5150825720? -0.0001524686? 0.119140625
-3.5171010643? -0.0000685453? -0.0003140539?
-3.4114766882? -0.0001525282? -0.85546875
-3.5171010643? -0.0001420974? -0.0002883342?
-2.8025657845? -0.0001525580? 2.125
-3.5171010643? -0.0000679492? -0.0003141834?
-2.1926011896? -0.0001525729? 2.75
-3.5171010643? -0.0001206398? -0.0002979502?
-3.2799832898? -0.0001525804? -1.26953125
-3.5171010643? -0.0001449570? -0.0002869072?
-3.1272850983? -0.0001525841? -1.609375
-3.5171010643? -0.0000778436? -0.0003118792?
-3.1975354204? -0.0001525860? -1.46484375
